submitTime,startTime,finishTime,id,name,queue,user,state,mapsTotal,mapsCompleted,reducesTotal,reducesCompleted
1510640434285,1510640444601,1510640866927,job_1509436254805_0029,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510654033531,1510654051178,1510654227469,job_1509436254805_0035,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510655267679,1510655280873,1510655403175,job_1509436254805_0038,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510656516095,1510656563481,1510656611116,job_1509436254805_0041,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510657890131,1510657900093,1510658000135,job_1509436254805_0044,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510659027780,1510659038348,1510659169435,job_1509436254805_0047,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510660261041,1510660276317,1510660448794,job_1509436254805_0050,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510661399257,1510661412189,1510661610533,job_1509436254805_0053,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510662619415,1510662632541,1510662679254,job_1509436254805_0056,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510663734999,1510663746313,1510663890540,job_1509436254805_0059,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510665027196,1510665048893,1510665092161,job_1509436254805_0062,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510666323374,1510666341587,1510666372092,job_1509436254805_0065,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510668709879,1510668733630,1510668814216,job_1509436254805_0068,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510669182338,1510669195629,1510669287039,job_1509436254805_0071,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510669750522,1510669814160,1510669850582,job_1509436254805_0074,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510671235741,1510671245660,1510671355255,job_1509436254805_0077,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510672475949,1510672553193,1510672649774,job_1509436254805_0080,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510673338125,1510673356794,1510673478787,job_1509436254805_0083,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510674539747,1510674569283,1510674599287,job_1509436254805_0086,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510682663558,1510682726305,1510717324244,job_1509436254805_0101,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510724229621,1510724237936,1510724422064,job_1509436254805_0135,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510725423064,1510725433959,1510725520169,job_1509436254805_0138,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510726627716,1510726637094,1510726664348,job_1509436254805_0140,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510727820202,1510727827625,1510727886886,job_1509436254805_0142,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510729027235,1510729036231,1510729075897,job_1509436254805_0144,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510730222020,1510730233161,1510730303622,job_1509436254805_0145,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510730365631,1510730374491,1510730414240,job_1509436254805_0147,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510730964723,1510730973478,1510731011148,job_1509436254805_0150,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510731564432,1510731570942,1510731612072,job_1509436254805_0152,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510732161490,1510732168981,1510732188984,job_1509436254805_0154,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510732768602,1510732775098,1510732811688,job_1509436254805_0156,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510733361699,1510733369976,1510733398005,job_1509436254805_0158,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
1510733962064,1510733968041,1510734003923,job_1509436254805_0160,QuasiMonteCarlo,hive,root,SUCCEEDED,5,5,1,1
